Тип_наблюдения;ФИО;Категория_наблюдения;Организация;Какие_возможные_последствия_наблюдения_или_преимущества_хорошей_практики_/_вашего_предложения?;Какие_меры_вы_предприняли?;Производилась_ли_остановка_работ?;Какие_действия_вы_предприняли_для_поощрения_хорошей_практики?;Обсудили_ли_вы_небезопасное_действие_/_небезопасное_поведение_с_наблюдаемым?;Сообщили_ли_ответственному_лицу?;Кому_вы_сообщили_о_наблюдении?_(Обязательно_к_заполнению_для_небезопасного_действия/_небезопасного_поведения/опасного_фактора_/_опасного_случая);Было_ли_небезопасное_условие_/_поведение_исправлено_и_опасность_устранена?;Дата_Время
Хорошая практика;Камелиев Тюльпан Розанович;Рабочее место / Эргономика;"ТОО ""Весенний Крокус""";Замечаний нет условий по ТБ соблюдается.;Доложил руководству.;False;Поблагодарил работников.;True;True;Руководству.;True;2025-06-08 15:25:00.000
Опасный фактор;Магнолиев Маргарит Георгинович;Работы на высоте / Строительные леса, Целостность объекта / Оборудования, Поддержание чистоты и порядка, Монтажные и грузоподъемные работы, Электрооборудование;"ТОО ""Изумрудный Папоротник""";С левой стороны центрального входа в здание на уровне 4 этажа оборван кабель подсветки здания ;Довели до начальника участка, дежурному цуб ;False;.;True;True;Начальнику участка, дежурному цуб ;False;2025-06-08 15:34:00.000
Хорошая практика;Камелиев Сакур Пионович;Наряд-допуск / Оценка риска;"ТОО ""Белоснежная Азалия""";Нет;Нет;False;Нет;False;False;Нет;False;2025-06-08 17:57:00.000
Хорошая практика;Орхидеев Хризантем Сакурович;Наряд-допуск / Оценка риска;"ТОО ""Алтын Бәйшешек""";Провел наблюдение предложение нет;Нет;False;Предложение нет;False;False;Опасного случай не было;False;2025-06-08 18:52:00.000
Хорошая практика;Тюльпанов Гортензий Астрович;Вождение, Трубопроводы / Подземные коммуникации;"ТОО ""Көктем Гүлі""";Провел наблюдение предложение нет ;Нет;False;Предложение нет ;False;False;Опасного случая не было;False;2025-06-08 18:57:00.000
Хорошая практика;Георгинов Хризантем Магнолиевич;Вождение, Трубопроводы / Подземные коммуникации;"ТОО ""Жемчужная Фрезия""";Провел наблюдение предложение нет;нет;False;предложение нет;False;False;Опасного случай не было;False;2025-06-08 19:03:00.000
Хорошая практика;Ирисов Георгин Хризантемович;Вождение, Трубопроводы / Подземные коммуникации;"ТОО ""Лазурный Дельфиниум""";Провел наблюдение предложение нет;Нет;False;Предложение нет;False;False;Опасного случай не было;False;2025-06-08 19:19:00.000
Хорошая практика;Магнолиев Вербен Лотосович;Вождение, Трубопроводы / Подземные коммуникации;"ТОО ""Розовый Флокс""";Провел наблюдение предложение нет ;Нет;False;Предложение нет ;False;False;Опасного случай не было;False;2025-06-08 19:23:00.000
Хорошая практика;Гортензиев Пион Тюльпанович;Наряд-допуск / Оценка риска;"ТОО ""Сафлоровый Рассвет""";Нет;Нет;False;Нет;False;False;Нет;False;2025-06-08 17:00:00.000
Хорошая практика;Вербенов Астрон Виолетович;Наряд-допуск / Оценка риска;"ТОО ""Медовая Астра""";Нет;Нет;False;Нет;False;False;Нет;False;2025-06-08 17:00:00.000
Хорошая практика;Хризантемов Лилий Лотосович;Аварийное реагирование / Готовность к ЧС;"ТОО ""Тайный Бутон""";МСФХТЗ әкімшілік ғимаратында бір дана өрт сөндіргіш жарамсыз;нет;False;нет;False;True;ТБ бөліміне;True;2025-01-16 16:20:00.000
Хорошая практика;Розанов Сакур Магнолиевич;Охрана окружающей среды, Поддержание чистоты и порядка;"ТОО ""Цветущий Миндаль""";В столовой вахтового посёлка используются специальные мусорные контейнеры с охлаждением и системой температурного контроля, в которых производится временное хранение пищевых отходов. Это позволяет поддерживать оптимальную температуру, предотвращая их разложение и образование неприятного запаха.;Никаких;False;Выразил благодарность;False;False;Нет данных;False;2025-06-07 13:00:00.000
