Тип_наблюдения;ФИО;Категория_наблюдения;Организация;Какие_возможные_последствия_наблюдения_или_преимущества_хорошей_практики_/_вашего_предложения?;Какие_меры_вы_предприняли?;Производилась_ли_остановка_работ?;Какие_действия_вы_предприняли_для_поощрения_хорошей_практики?;Обсудили_ли_вы_небезопасное_действие_/_небезопасное_поведение_с_наблюдаемым?;Сообщили_ли_ответственному_лицу?;Кому_вы_сообщили_о_наблюдении?_(Обязательно_к_заполнению_для_небезопасного_действия/_небезопасного_поведения/опасного_фактора_/_опасного_случая);Было_ли_небезопасное_условие_/_поведение_исправлено_и_опасность_устранена?;Дата_Время
Хорошая практика;Сакуров Тюльпан Орхидеевич;Наряд-допуск / Оценка риска, Целостность объекта / Оборудования;"ТОО ""Цветущий Олеандр""";Провел наблюдение. Предложении нет;Доложил начальнику участка;False;Доложил начальнику участка;True;True;Доложил начальнику участка;True;2026-01-08 16:25:00.000
Хорошая практика;Пионов Георгин Хризантемович;Наряд-допуск / Оценка риска;"ТОО ""Весенний Букет""";Провел наблюдение предложение нет;Нет;False;Предложнеие нет;False;False;Опасный случие не была;False;2026-01-10 16:41:00.000
Небезопасное поведение;Астров Нарцисс Лилиевич;СИЗ / Средства по обеспечению безопасности;"ТОО ""Флора Капитал""";Нет данных;Остановил работу провел беседу и сообщил менеджеру проекта Андрееву В.С. ;True;Нет данных;True;True;сообщил менеджеру проекта Андрееву В.С. ;False;2026-01-09 15:00:00.000
Небезопасное поведение;Гортензиев Ирис Ирисович;СИЗ / Средства по обеспечению безопасности;"ТОО ""Бархатный Тюльпан""";При плановом обходе было обнаружено что работник работал без защитных касок№;остановил работу.;True;сделал замечание. провел беседу.;True;True;непосредственному руководителю;True;2026-01-10 15:18:00.000
Небезопасное условие ;Розанов Розан Фиалкович;Санитарно-бытовые помещения, Рабочее место / Эргономика, Электрооборудование;"ТОО ""Алый Тюльпан""";В Испытательной лаборатории (газ завод) не работает вытяжная система в аналитическом кабинете. При работе с газами и сильно пахнущими технологическими растворами  запах и газы все остаются в помещении.  Три вытяжных шкафа находящихся в аналитической не вытягивают запах и газ. ;Подали заявку на проверку вентиляционной системы и вытяжных шкафов, для выявления причины не правильной работы их,  и проведения ремонта,  демонтажа-монтажа улитки вентиляторов, отключение / подключение электричества вентиляторов, проверка герметизация труб вент. системы. ;False;Положительная обратная связь от руководства и коллег ИЛ;True;True;Начальнику Производственного Управления;True;2026-01-11 13:25:00.000
Предложение (инициатива);Георгинов Вербен Гортензиевич;Рабочее место / Эргономика;"ТОО ""Белая Роза""";Рубеж 1. Беседке отсутствует сидение, надо обновить беседку ;изготовление сидение из досок и установить ,покраска;False;изготовление сидение из досок и установить ,покраска;True;True;Прорабу РСЦ Тенелханұлы А;True;2026-01-07 15:17:00.000
Небезопасное действие;Ирисов Фиал Нарциссович;Знаки безопасности / Предупредительные таблички;"ТОО ""Золотая Лилия""";Не соблюдение правил на АЗС;Уведомил о необходимости, затем водитель выключил;True;Водитель признал свою ошибку;True;False;Беседовал с водителем;True;2026-01-10 14:00:00.000
Небезопасное условие ;Сакуров Орхидей Камелиевич;Рабочее место / Эргономика;"ТОО ""Лавандовый Рассвет""";Обход рабочие место ;  Указал фактическое значение и норматив, которому не соответствует лестница ;False;Нет данных;False;True;Начальнику участка;True;2026-01-11 15:31:00.000
Опасный случай;Ирисов Маргарит Магнолиевич;Работы на высоте / Строительные леса;"ТОО ""Синяя Орхидея""";"Мердігер ""МегаСтройПлюс""  ЖШС  биіктікке шығып жұмыс жасау.";Кіріп-шығу мақсатында  БКТП-ның  стационарлық  баспаларын құрастырып алу.;False;Жауапты тұлғаға алғыс.;True;True;Бөлім бастығына;True;2026-01-11 22:10:00.000
Небезопасное поведение;Тюльпанов Лилий Пионович;Выполнение требований инструкций;"ТОО ""Пурпурный Ирис""";Работник цеха КИПиА пользовался зажигалкой (что запрещено инструкцией ОТБ);Провел разъяснительную беседу с работников, изъял зажигалку.;False;Провел профилактическую беседу по не допущению нарушений заводских инструкций ОТБ;True;True;Заместителю цеха КИПиА.;True;2026-01-07 15:45:00.000
Небезопасное поведение;Маргаритов Маргарит Гортензиевич;Выполнение требований инструкций;"ТОО ""Нежная Фиалка""";Работник подрядной организации пользовался сот.телефоном (нарушение инструкции ОТБ);Провел разъяснительную беседу с работником, отправил в раздевалку убрать сот.телефон в шкаф.;False;Проведена беседа;True;True;Инженеру по БиОТ подрядной организации.;True;2026-01-09 16:50:00.000
Небезопасное действие;Магнолиев Сакур Пионович;Проскальзывание / Спотыкание / Падение;"ТОО ""Солнечный Подсолнух""";При входе складе 8 имеется лужа льда возможно спотыкание;Оградили зону сигнальной лентой и убрали лед;False;Нет данных;True;True;Зав складом;True;2026-01-12 14:56:00.000
Хорошая практика;Камелиев Лилий Жасминович;СИЗ / Средства по обеспечению безопасности;"ТОО ""Весенний Пион""";Проведение работ с использованием средств защиты органов слуха.;Проведен инструктаж.;False;Проведён инструктаж.;False;True;Мастеру участка.;False;2026-01-09 14:00:00.000
Предложение (инициатива);Ирисов Розан Жасминович;Санитарно-бытовые помещения;"ТОО ""Горная Эдельвейс""";Прошу рассмотреть возможность установки специальной вытяжки, включаемой от выключателя, во избежание открытия окон при минусовых температурах и применения аэрозольных средств, вызывающих аллергическую реакцию;предупреждение руководителя ООТОС;False;предложение, так как начался задыхаться и откашливаться после применения коллегой аэрозольного средства;True;True;руководителю ООТОС;False;2026-01-12 15:35:00.000
Предложение (инициатива);Тюльпанов Орхидей Вербенович;Выполнение требований инструкций, Санитарно-бытовые помещения;"ТОО ""Дикая Ромашка""";Прошу рассмотреть возможность задействования в работе нефункционирующих сан/узлов, в том числе предназначенных для инвалидов, и душевых помещений. Также длительное время не функционирует женский санузел на 1 этаже офиса КМТФ ;предложение руководителю ООТОС;False;предложение руководителю ООТОС;True;True;руководителю ООТОС;False;2026-01-12 15:45:00.000
Небезопасное действие;Маргаритов Маргарит Гортензиевич;Взрыво- и пожароопасность;"ТОО ""Серебряный Лотос""";Береговой во время грузовых операций разговаривал по мобильному телефону.;Сделали устное замечание.;False;Вывешен стенд с надписями.;True;True;СПКМ;True;2025-12-30 20:15:00.000
Небезопасное действие;Пионов Астрон Виолетович;СИЗ / Средства по обеспечению безопасности;"ТОО ""Ясный Василёк""";Перед шланговкой судового монифольда к береговому стендеру береговой подошел без каски.;Сделано устное замечание.;False;Выдана судовая каска для визитеров.;True;True;Старший помощник капитана;True;2026-01-09 18:55:00.000
Небезопасное поведение;Маргаритов Маргарит Фиалкович;СИЗ / Средства по обеспечению безопасности;"ТОО ""Алая Гвоздика""";сотрудники подрядной компании проводящие ГИС работы на рабочем месте находились без СИЗ каски;Было дано устное предупреждения начальнику партии ГИС ;False;Провел беседу с сотрудниками;True;True;Начальнику партии;True;2025-12-10 20:00:00.000
Хорошая практика;Лилиев Фиал Азалиевич;Знаки безопасности / Предупредительные таблички;"ТОО ""Сакура Плюс""";ескерту тақтайшасы бояуы өшкін көрінеді МГ-702 Аға күзетші Макишбеков.М;Авп Трудовое главный инженерге хабарланды Петровичке ;False;Нет данных;True;True;Авп Трудовое главный инженерге хабарланды Петровичке ;True;2026-01-12 19:55:00.000
Небезопасное условие ;Азалиев Лилий Жасминович;Электрооборудование;"ТОО ""Южная Магнолия""";Розетка установлена снаружи склада  ;Для устранение подано заявка на Эл. цех;False;Снаружи склада не должный быть открытие розетки ;True;True;Зам. начальник БМТС;True;2026-01-13 15:31:00.000
Небезопасное действие;Орхидеев Астрон Лотосович;Вождение;"ТОО ""Таёжный Жасмин""";Работник подрядной организации не пристегнулся ремнем безопасности по маршруту работа-дом (при движении автобуса.;Провел беседу, заставил пристегнутся ремнем безопасности;False;Провел разъяснительную беседу с работником подрядной организации.;True;True;Ответственному лицу, инженеру по БиОТ подрядной организации.;True;2026-01-12 23:20:00.000
Небезопасное условие ;Астров Орхидей Гортензиевич;Рабочее место / Эргономика, Электрооборудование;"ТОО ""Полевая Незабудка""";В помещении гардеробной не горят осветительные лампы в количестве 2 шт.;Сообщили руководству;False;Подготовлена СЗ для оплаты;True;True;СБиОТ;True;2025-04-26 15:45:00.000
Небезопасное условие ;Пионов Вербен Тюльпанович;Вывешивание плакатов, Рабочее место / Эргономика;"ТОО ""Янтарная Хризантема""";ОТсутствует знак пожарной безопасности - Огнетушитель;Сообщено руководителю;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-04-01 19:48:00.000
Небезопасное условие ;Виолетов Астрон Камелиевич;Рабочее место / Эргономика, Работы на высоте / Строительные леса;"ТОО ""Тихая Камелия""";Крепление лестницы на бетон двигается при подъеме;Сообщили руководителю;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-04-01 14:50:00.000
Небезопасное условие ;Орхидеев Пион Сакурович;Работы на высоте / Строительные леса, Рабочее место / Эргономика;"ТОО ""Ночная Лаванда""";На высоте печи Н-601 отсутствует сегмент перильного ограждения;Сообщили руководителю;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-04-01 20:56:00.000
Небезопасное условие ;Сакуров Сакур Сакурович;Вывешивание плакатов;"ТОО ""Лесной Ландыш""";В компрессорной отсутствует знак пожарный - Огнетушитель;Сообщили руководству;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-04-02 19:57:00.000
Небезопасное условие ;Магнолиев Виолан Гортензиевич;Взрыво- и пожароопасность;"ТОО ""Звёздный Амариллис""";Отсутствуют первичные средства пожаротушения - огнетушитель ОП-10, хотя установлены соответствующие знаки;Сообщили руководству;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-04-02 16:57:00.000
Небезопасное условие ;Ирисов Тюльпан Сакурович;Рабочее место / Эргономика, Работы на высоте / Строительные леса;"ТОО ""Каспийский Тюльпан""";В районе места отбора проб в решетчатом настиле имеется поврежденный сегмент, есть риск падения;Сообщили руководству;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-04-16 17:01:00.000
Небезопасное условие ;Фиалков Азалий Тюльпанович;Электрооборудование;"ТОО ""Степная Роза""";В районе печи - 1 ЭЛОУ АТ-2 имеется не закрепленный кабель;Сообщено руководству;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-04-16 16:00:00.000
Небезопасное условие ;Фиалков Маргарит Розанович;Поддержание чистоты и порядка;"ТОО ""Голубая Гортензия""";Воле места отбора проб лежит металлическая пластина;Сообщено руководству;False;Подготовлена СЗ на оплату;False;False;СБиОТ;True;2025-06-19 19:02:00.000
Небезопасное условие ;Виолетов Лаврентий Флорович;Взрыво- и пожароопасность;"ТОО ""Рубиновый Мак""";Диаметр пробки в аппарате для определения температуры застывания не соответствует размеру ячейки;Сообщено руководству ;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-06-30 19:14:00.000
Небезопасное условие ;Азалиев Мелисс Вербенович;Рабочее место / Эргономика;"ТОО ""Северный Нарцисс""";Сломаны петли на двери второго этажа;Сообщено механику;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-07-09 20:16:00.000
Небезопасное условие ;Лилиев Виолан Розанович;Санитарно-бытовые помещения;"ТОО ""Имперская Орхидея""";Трещина в унитазе в санузле;Сообщено руководству;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-07-15 17:17:00.000
Небезопасное условие ;Камелиев Камелий Мелиссович;Электрооборудование, Рабочее место / Эргономика;"ТОО ""Весенний Крокус""";Криво размещен плафон со светодиодными лампами;Сообщено руководству;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-07-30 16:18:00.000
Небезопасное условие ;Мелиссов Флорен Камелиевич;Поддержание чистоты и порядка;"ТОО ""Изумрудный Папоротник""";"Протекает блок кондиционера на фасаде здания ИЦ ""ЦЗЛ""";Подготовлена СЗ на оплату;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-07-30 17:22:00.000
Небезопасное условие ;Азалиев Сакур Вербенович;Взрыво- и пожароопасность, Проскальзывание / Спотыкание / Падение;"ТОО ""Белоснежная Азалия""";Открыт люк колодца, отсутствует обечайка;Подготовлена СЗ на оплату;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-08-06 18:26:00.000
Небезопасное условие ;Пионов Лилий Пионович;Рабочее место / Эргономика;"ТОО ""Алтын Бәйшешек""";Сломаны петли и не работает доводчик во входной двери бывшего здания ОКС (напротив медпункта);Подготовлена СЗ на оплату;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-09-22 16:57:00.000
Небезопасное условие ;Розанов Азалий Сакурович;Проскальзывание / Спотыкание / Падение, Рабочее место / Эргономика;"ТОО ""Көктем Гүлі""";Открыт один из колодцев на закрепленной территории;Подготовлена СЗ на оплату;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-08-06 16:27:00.000
Небезопасное условие ;Георгинов Нарцисс Розанович;Электрооборудование, Целостность объекта / Оборудования;"ТОО ""Жемчужная Фрезия""";В коридоре третьего этажа от стены отошла кнопка включения оборудования;Подготовлена СЗ на оплату;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-08-26 15:27:00.000
Небезопасное условие ;Ирисов Камелий Флорович;Рабочее место / Эргономика, Поддержание чистоты и порядка;"ТОО ""Лазурный Дельфиниум""";Отсутствует обечайка колодца;Подготовлена СЗ на оплату;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-09-22 20:03:00.000
Небезопасное условие ;Ирисов Хризантем Ирисович;Падающие предметы;"ТОО ""Розовый Флокс""";Отсутствует ящик для хранения проб. Пробы размещаются на бетонной площадке;Подготовлена СЗ на оплату;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-09-25 23:07:00.000
Небезопасное условие ;Георгинов Жасмин Флорович;Проскальзывание / Спотыкание / Падение, Рабочее место / Эргономика;"ТОО ""Сафлоровый Рассвет""";Поддон использующийся для отломки/приготовления льда имеет сквозное отверстие, в результате чего талая вода стекает на пол ;Подготовлена СЗ на оплату;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-09-25 23:15:00.000
Небезопасное условие ;Тюльпанов Фиал Хризантемович;Рабочее место / Эргономика;"ТОО ""Медовая Астра""";Обнаружена неисправность мусорного контейнера - дефект ручки;Подготовлена СЗ на оплату;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-10-10 22:09:00.000
Небезопасное действие;Хризантемов Орхидей Виолетович;Наряд-допуск / Оценка риска, Выполнение требований инструкций;"ТОО ""Тайный Бутон""";"При проверке документов перед началом работбыло обнаружено , что у работника ТОО«РМУ» Жайлаубаева истёк срок периодической проверки СИЗОД
 
";Отстранила работника от работы до устрания замечания;False;Провела разъяснительнеюработу.;True;True;Мастеру ТОО РМУ«»;True;2026-01-12 13:55:00.000
Небезопасное действие;Гортензиев Тюльпан Фиалкович;Наряд-допуск / Оценка риска, Выполнение требований инструкций;"ТОО ""Цветущий Миндаль""";"При проверке документов перед началом работбыло обнаружено , что у работника ТОО«РМУ» Жайлаубаева истёк срок периодической проверки СИЗОД
 
";Отстранила работника от работы до устрания замечания;False;Провела разъяснительнеюработу.;True;True;Мастеру ТОО РМУ«»;True;2026-01-12 13:55:00.000
Небезопасное условие ;Нарциссов Ирис Флорович;Проскальзывание / Спотыкание / Падение;"ТОО ""Полевой Клевер""";Выпирает сегмент кафельного покрытия, создается риск спотыкания;Подготовлена соответствующая СЗ;False;Подготовлена соответствующая СЗ;True;True;СБиОТ;True;2025-08-26 18:38:00.000
Небезопасное действие;Вербенов Мелисс Пионович;Наряд-допуск / Оценка риска, Выполнение требований инструкций;"ТОО ""Огненная Георгина""";При проверке документов и готовности к работе персонала, было выявлено, что у работника ТОО«РМУ» ТашаеваС истёк срок квалификационного документа.;Отстранила работника от работы до устранения замечания.;False;Провела разяснительную работу.;True;True;Мастеру ТОО «РМУ»;True;2026-01-12 14:00:00.000
Небезопасное условие ;Маргаритов Виолан Тюльпанович;Целостность объекта / Оборудования;"ТОО ""Сияющая Примула""";Коррозийный износ на рабочих столах вентиляционных шкафов в помещениях № 318, В-43, № 317, В-44;Подготовлена СЗ на оплату;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-10-13 21:41:00.000
Небезопасное условие ;Маргаритов Лилий Азалиевич;Рабочее место / Эргономика;"ТОО ""Гармония Лилий""";Аптечка размещена на уровне глаз, прямо на повороте в помещение СПЛ № 19;Подготовлена соответствующая СЗ;False;Подготовлена соответствующая СЗ;True;True;СБиОТ;True;2025-08-27 19:41:00.000
Небезопасное действие;Нарциссов Маргарит Тюльпанович;Наряд-допуск / Оценка риска, Выполнение требований инструкций;"ТОО ""Шёлковый Пион""";При проверке документов и готовности к работе персоналов, было выявлено, что у работника ТОО«РМУ» ТАШАЕВА С истек срок периодической проверки СИЗОД;Отстранила работника от работы до устранения замечания.;False;Провела разяснительную работу.;True;True;Мастеру ТОО «РМУ»;True;2026-01-12 13:25:00.000
Небезопасное условие ;Гортензиев Жасмин Магнолиевич;Знаки безопасности / Предупредительные таблички;"ТОО ""Японская Сакура""";"Не работает табло ""Аварийный выход""";Подготовлена СЗ на оплату;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-10-17 19:13:00.000
Небезопасное условие ;Георгинов Жасмин Жасминович;Электрооборудование;"ТОО ""Лунная Орхидея""";Поврежден корпус электрической розетки;Подготовлена СЗ на оплату;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-10-23 18:40:00.000
Небезопасное действие;Маргаритов Нарцисс Орхидеевич;Наряд-допуск / Оценка риска, Выполнение требований инструкций;"ТОО ""Садовый Гиацинт""";При проверке документов и готовности к рпботе персоналов, было выявлено что у ратотника ТОО«РМУ» ОРЫНБАЕВА Е истек срок квалифиеационного документа.;Отстранила работника от выполняемой работы , до устранения змаечания.;False;"Провела разъяснитентьну работу .
";True;True;Мастеру ТОО «РМУ»;True;2026-01-12 13:35:00.000
Небезопасное условие ;Фиалков Ирис Маргаритович;Электрооборудование;"ТОО ""Белый Лотос KZ""";В 219 помещении на термостате бумага закреплена сверху и частично свисает внутрь рабочей зоны;Подготовлена соответствующая СЗ;False;Подготовлена соответствующая СЗ;True;True;СБиОТ;True;2025-08-27 21:36:00.000
Небезопасное условие ;Маргаритов Магнолий Магнолиевич;Электрооборудование, Поддержание чистоты и порядка;"ТОО ""Ароматный Мирт""";Посторонние предметы на микроволновой печи в помещении для приема пищи;Подготовлена соответствующая СЗ;False;Подготовлена соответствующая СЗ;True;True;СБиОТ;True;2026-01-13 18:49:00.000
Небезопасное действие;Лотосов Пион Розанович;Сварка / Шлифовка / Отжиг;"ТОО ""Цветочный Бриз""";Работник передвигаесь по территории гу -20 переходил через трубопровод в неустановленном месте;Остановил работника и провел беседу;False;Устная замечание;True;True;Мастер гу 20;True;2026-01-13 16:41:00.000
Небезопасное действие;Фиалков Лотос Пионович;Сварка / Шлифовка / Отжиг;"ТОО ""Небесная Камелия""";Работник передвигаесь по территории гу -20 переходил через трубопровод в неустановленном месте;Остановил работника и провел беседу;False;Устная замечание;True;True;Мастер гу 20;True;2026-01-13 16:41:00.000
Небезопасное условие ;Виолетов Орхидей Флорович;Рабочее место / Эргономика;"ТОО ""Степной Шалфей""";Косяк от двери расшатался, что нарушает ее стабильность и функциональность;Подготовлена соответствующая СЗ;False;Подготовлена соответствующая СЗ;True;True;СБиОТ;True;2025-09-02 18:53:00.000
Небезопасное условие ;Орхидеев Флорен Жасминович;Проскальзывание / Спотыкание / Падение;"ТОО ""Грация Гортензии""";При входе в ЦЗЛ решетка для чистки обуви установлена на неровную поверхность, при его использовании шатается;Подготовлена соответствующая СЗ;False;Подготовлена соответствующая СЗ;True;True;СБиОТ;True;2025-09-25 19:55:00.000
Небезопасное условие ;Астров Розан Лавандович;Электрооборудование;"ТОО ""Пудровая Роза""";Трещина в корпусе розетки;Подготовлена СЗ на оплату;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-10-24 17:15:00.000
Небезопасное условие ;Вербенов Вербен Маргаритович;Падающие предметы;"ТОО ""Золотой Подсолнух""";По причине недостаточного крепления, есть риск падения плафона осветительного прибора;Подготовлена СЗ на оплату;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-11-24 18:18:00.000
Небезопасное условие ;Сакуров Ирис Камелиевич;Проскальзывание / Спотыкание / Падение;"ТОО ""Кристальный Ирис""";Выступает на 20 - см металлическая арматура;Подготовлена СЗ на оплату;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-04-23 19:28:00.000
Небезопасное условие ;Георгинов Лотос Тюльпанович;Проскальзывание / Спотыкание / Падение;"ТОО ""Лепесток Удачи""";Отсутствует крышка/люк колодца ;Подготовлена СЗ на оплату;False;Подготовлена СЗ на оплату;True;True;СБиОТ;True;2025-05-26 19:31:00.000
Небезопасное поведение;Флоров Хризантем Хризантемович;Поддержание чистоты и порядка;"ТОО ""Рассветная Лаванда""";№5 автотізбек 409 Ас12 АПРС-40 көтергіш агрегатының артында қоқыстар шашылған.;Ескертілді;False;Нет данных;True;True;автотізбек бастығына;True;2026-01-30 22:22:00.000
Небезопасное условие ;Мелиссов Гортензий Астрович;Сварка / Шлифовка / Отжиг;"ТОО ""Цветущий Олеандр""";"Лестница градирный не закреплено, шатается что может привести к получению травм при поднятие на верх.
Закрепить или заварить к основанию градирни.";Сообщено руководителям;False;Внедрили список для поощрения I полугодия.;True;True;Служба БиОТ;True;2026-01-12 20:15:00.000
Небезопасное условие ;Тюльпанов Орхидей Виолетович;Падающие предметы;"ТОО ""Весенний Букет""";"Падение сосулки и наледи. Падения на персонал.
Удалить и установить временное ограждения.";Сообщено руководителям.;False;Внедрено в список поощрения I полугодия.;True;True;Служба БиОТ.;True;2026-01-09 18:40:00.000
Небезопасное условие ;Жасминов Флорен Флорович;Проскальзывание / Спотыкание / Падение;"ТОО ""Флора Капитал""";"Обнаружено открытый технологически приемок не закрытый защитной крышки и не огражден. 
Закрыть металлической крышки и установить временное ограждения.  ";Сообщено руководителям.;False;Внедрено список для поощрения I полугодия.;True;True;Служба БиОТ.;False;2026-01-12 15:30:00.000
Небезопасное условие ;Хризантемов Лаврентий Вербенович;Проскальзывание / Спотыкание / Падение, Работы на высоте / Строительные леса;"ТОО ""Бархатный Тюльпан""";"Градирная БОВ-2 титул 3603 электродвигатели KV-9101 и  KV-9102 доступ ограничен так как нет площадки для обслуживания электродвигателей, есть вероятность получения травм.
Монтаж площадки для безопасного обслуживания электродвигателей.";Сообщено руководителям.;False;Внедрено список для поощрения I полугодия. ;True;True;Служба БиОТ.;False;2026-01-12 20:15:00.000
Небезопасное условие ;Гортензиев Сакур Лотосович;Проскальзывание / Спотыкание / Падение;"ТОО ""Алый Тюльпан""";Подсыпать песком возле поста №2 лед;Сообщено руководству цеха;False;Нет данных;True;True;Мастеру участка Кузнецову В. О.;True;2026-01-10 01:40:00.000
Небезопасное условие ;Магнолиев Астрон Хризантемович;Опасные природные явления / Погодные условия;"ТОО ""Белая Роза""";В зимний период заснеженность,переметы.;Пишем служебную записку ;False;Сообщаем руководству.;True;True;Непосредственному руководителю начальнику смены Биканову АБ ;False;2026-01-13 22:41:00.000
Небезопасное условие ;Георгинов Лаврентий Камелиевич;Рабочее место / Эргономика;"ТОО ""Золотая Лилия""";Нет санитарного минимума;Сообщаем руководству ;False;Пишем служебную записку ;True;True;Непосредственному руководителю начальнику смены Биканову АБ ;False;2026-01-13 22:47:00.000
Опасный фактор;Георгинов Камелий Жасминович;Транспортировка;"ТОО ""Лавандовый Рассвет""";Жол қыйылысы ойылып қалған, тегістеп күреу керек.;Ешқандай;False;Ешқандай, жол қиылысын автогрейдермен күреу керек.;False;False;Ешкімге;False;2026-01-13 22:49:00.000
Предложение (инициатива);Нарциссов Георгин Лавандович;Прочее;"ТОО ""Синяя Орхидея""";Технологиялық қажеттілікке пайдаланатын су қыздыру пешінің су алатын гусактың асты су,балшық. АЦН жүргізушілер тайып құлауы мүмкін және әрдайым балшық кешіп жүреді.;Су жиналмайтындай жағдай жасалды, топырақ төгілілді, техника жүретін плиталар қайта монтаждалды. ;False;Жұмыс жағдайын жақсарту;True;True;МӨЦ-3 басшысына;False;2026-01-12 14:00:00.000
Небезопасное условие ;Ирисов Хризантем Лавандович;Выполнение требований инструкций;"ТОО ""Пурпурный Ирис""";Очистить стрелочные переводы от снега ;сообщено руководству цеха;False;Нет данных;True;True;начальнику станции Мухамадиеву А. Б.;True;2026-01-09 17:10:00.000
Опасный случай;Пионов Вербен Розанович;Знаки безопасности / Предупредительные таблички, Поддержание чистоты и порядка, Электрооборудование, Выполнение требований инструкций, Переносное оборудование / Ручные инструменты, Проскальзывание / Спотыкание / Падение, Испытание под давлением;"ТОО ""Нежная Фиалка""";ГЗУ-12 ВВГ ЦНС сорабын орнату жұмысын жасату;ГЗУ-12 ВВГ ЦНС сорабын айналасына жұмыс жасағанда лентамен қоршалмаған, ;False;Шеберіне түсіндірме ескерту берілді;False;False;Нет данных;True;2026-01-13 20:10:00.000
Небезопасное условие ;Камелиев Лаврентий Виолетович;Проскальзывание / Спотыкание / Падение;"ТОО ""Солнечный Подсолнух""";Подсыпать песком служебный проход;Сообщено руководству цеха;False;Нет данных;True;True;мастеру участка Кузнецову В. О.;True;2026-01-14 14:00:00.000
Небезопасное условие ;Астров Пион Флорович;Проскальзывание / Спотыкание / Падение;"ТОО ""Весенний Пион""";Пост №2 очистить служебную лестницу от снега ;Нет данных;False;Нет данных;True;True;Мастеру участка Кузнецову  В. О.;True;2026-01-11 02:00:00.000
Небезопасное поведение;Флоров Георгин Магнолиевич;Поддержание чистоты и порядка;"ТОО ""Горная Эдельвейс""";ГСМ аймақта 924АВ12 АТЗ астында май төгілген.;Ескертілді;False;Нет данных;True;True;Инженер ГСМ;True;2026-01-05 21:24:00.000
Небезопасное действие;Розанов Георгин Лилиевич;Транспортировка;"ТОО ""Дикая Ромашка""";Обнаружено на 1625 км выполнение работ без дополнительно стороховочного тросса.;Предупредил старшего рабочей группы на участке. Доложил руководству участка. ;True;Предупредил, о возможном срыве груза. Сообщил начальнику смены Алтынбекову Е.С.;True;True;Дежурному диспетчеру участка.;True;2026-01-14 15:45:00.000
Опасный фактор;Орхидеев Жасмин Лилиевич;Работы на высоте / Строительные леса, Выполнение требований инструкций;"ТОО ""Серебряный Лотос""";№44 ұңғыманы динамограммаға түсіруге барғанда ұңғыманың канаты бір метрге жақын жартылай тарқатылып тұрғанын байқадым. Ұңғыма тоқтатылып, БДН шеберіне ескерттім;Канаты ауыстырылып, ұңғыма іске қосылды;True;Нет данных;True;True;мастер БДНГ;True;2026-01-09 14:25:00.000
Опасный фактор;Тюльпанов Вербен Виолетович;Работы на высоте / Строительные леса, Выполнение требований инструкций;"ТОО ""Ясный Василёк""";На скважине №44-изношен подвесной канат станок качалки;Немедленно остановлено скважина. Канат заменено. Соблюдены все меры правил ОТ иТБ.;True;Нет данных;True;True;Цех басшысына;True;2026-01-09 15:00:00.000
